"Year","TeamId","Team","Classification","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties","NeutralSiteGames Games","NeutralSiteGames Wins","NeutralSiteGames Losses","NeutralSiteGames Ties","RegularSeason Games","RegularSeason Wins","RegularSeason Losses","RegularSeason Ties","Postseason Games","Postseason Wins","Postseason Losses","Postseason Ties"
"2023","2754","Youngstown State","fcs","MVFC","","7.3361753345510365","13","8","5","0","8","5","3","0","7","6","1","0","6","2","4","0","0","0","0","0","11","7","4","0","2","1","1","0"
"2023","43","Yale","fcs","Ivy","","7.932870491928576","10","7","3","0","7","5","2","0","7","4","3","0","3","3","0","0","0","0","0","0","10","7","3","0","0","0","0","0"
"2023","2751","Wyoming","fbs","Mountain West","Mountain","7.251306020864472","13","9","4","0","8","5","3","0","7","7","0","0","5","1","4","0","1","1","0","0","12","8","4","0","1","1","0","0"
"2023","402","Worcester St","iii","MSCAC","","","10","1","9","0","8","1","7","0","5","1","4","0","5","0","5","0","0","0","0","0","9","1","8","0","1","0","1","0"
"2023","2749","Worcester Polytechnic Institute","iii","NEWMAC","","","10","3","7","0","6","1","5","0","6","1","5","0","4","2","2","0","0","0","0","0","10","3","7","0","0","0","0","0"
"2023","2748","Wooster","iii","North Coast","","","10","4","6","0","8","3","5","0","5","4","1","0","5","0","5","0","0","0","0","0","10","4","6","0","0","0","0","0"
"2023","2747","Wofford","fcs","Southern","","3.0380746173928665","11","2","9","0","8","2","6","0","5","1","4","0","6","1","5","0","0","0","0","0","11","2","9","0","0","0","0","0"
"2023","2746","Wittenberg","iii","North Coast","","","10","7","3","0","8","6","2","0","5","3","2","0","5","4","1","0","0","0","0","0","10","7","3","0","0","0","0","0"
"2023","2745","Wisconsin-Whitewater","iii","Wisconsin","","","13","11","2","0","7","6","1","0","7","6","1","0","6","5","1","0","0","0","0","0","10","9","1","0","3","2","1","0"
"2023","2744","Wisconsin-Stout","iii","Wisconsin","","","10","4","6","0","7","2","5","0","5","2","3","0","4","1","3","0","1","1","0","0","10","4","6","0","0","0","0","0"
"2023","2743","Wisconsin-Stevens Pt","iii","Wisconsin","","0.0010290637699513772","10","1","9","0","7","0","7","0","5","1","4","0","5","0","5","0","0","0","0","0","10","1","9","0","0","0","0","0"
"2023","2723","Wisconsin-River Falls","iii","Wisconsin","","","10","7","3","0","7","4","3","0","4","2","2","0","6","5","1","0","0","0","0","0","10","7","3","0","0","0","0","0"
"2023","272","Wisconsin-Platteville","iii","Wisconsin","","","10","6","4","0","7","4","3","0","5","3","2","0","5","3","2","0","0","0","0","0","10","6","4","0","0","0","0","0"
"2023","271","Wisconsin-Oshkosh","iii","Wisconsin","","","10","6","4","0","7","4","3","0","5","4","1","0","5","2","3","0","0","0","0","0","10","6","4","0","0","0","0","0"
"2023","2741","Wisconsin-Lutheran","iii","NACC","","","10","4","6","0","8","4","4","0","5","3","2","0","5","1","4","0","0","0","0","0","10","4","6","0","0","0","0","0"
"2023","2740","Wisconsin-Lacrosse","iii","Wisconsin","","","13","11","2","0","7","7","0","0","7","5","2","0","5","5","0","0","1","1","0","0","10","9","1","0","3","2","1","0"
