"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2024","Notre Dame","FBS Independents","25.305","4","2","2","58","","4","88.314","78.053","88.226","42.499"
"2024","Massachusetts","FBS Independents","-17.327","131","125","115","76","","120","21.134","44.861","17.921","18.122"
"2024","Oklahoma State","Big 12","-0.188","99","69","121","38","","88","45.41","60.308","33.797","50.114"
"2024","Kansas State","Big 12","11.098","31","24","52","47","","33","70.634","61.856","71.635","49.804"
"2024","Baylor","Big 12","9.105","35","33","35","63","","27","70.789","70.321","56.691","72.021"
"2024","Iowa State","Big 12","10.15","23","28","58","57","","53","66.812","63.385","63.427","52.51"
"2024","Texas Tech","Big 12","6.204","37","40","33","69","","35","57.272","59.502","48.684","59.274"
"2024","Kansas","Big 12","8.755","61","35","43","37","","23","66.926","75.105","52.224","46.186"
"2024","TCU","Big 12","8.023","38","37","42","61","","38","67.255","69.28","58.063","52.483"
"2024","West Virginia","Big 12","1.795","56","63","76","52","2","56","52.984","64.597","35.526","62.429"
"2024","South Florida","American Athletic","-3.472","86","83","99","59","13","106","43.944","38.512","48.325","59.807"
"2024","East Carolina","American Athletic","-5.922","90","93","71","129","","101","41.022","32.234","48.38","64.194"
"2024","Tulsa","American Athletic","-23.104","129","133","131","132","","125","10.676","13.203","19.054","46.728"
"2024","Temple","American Athletic","-18.721","119","127","127","95","","125","21.167","12.845","40.982","52.686"
"2024","Memphis","American Athletic","2.129","33","62","12","114","3","40","54.221","59.509","47.876","44.037"
"2024","Navy","American Athletic","-0.331","41","70","21","86","","48","66.294","67.98","60.609","42.503"
"2024","Tulane","American Athletic","10.537","49","27","17","93","","44","71.379","66.845","65.053","60.698"
"2024","Western Kentucky","Conference USA","-7.663","78","102","54","78","1","79","43.781","43.864","42.926","60.821"
"2024","Florida International","Conference USA","-11.982","125","116","73","104","","105","31.486","26.115","42.649","52.169"
"2024","Louisiana Tech","Conference USA","-10.693","116","109","79","124","","109","33.559","17.782","57.468","56.881"
"2024","Middle Tennessee","Conference USA","-19.398","126","128","130","90","","125","12.733","20.907","13.889","61.424"
"2024","UTEP","Conference USA","-19.407","128","129","120","89","","125","18.38","12.952","39.066","39.932"
"2024","Oregon State","Pac-12","-6.875","104","96","95","85","","96","30.065","41.308","25.791","50.932"
"2024","Washington State","Pac-12","1.667","60","64","25","111","","55","55.471","65.831","46.227","40.813"
"2024","James Madison","Sun Belt","2.903","69","57","19","127","10","62","53.163","41.053","62.727","55.265"
"2024","Marshall","Sun Belt","2.784","32","58","22","64","","42","60.561","56.322","55.867","64.691"
"2024","Georgia Southern","Sun Belt","-2.353","50","76","80","80","8","75","49.887","52.067","44.55","60.616"
"2024","Old Dominion","Sun Belt","-2.342","102","75","85","96","","81","48.449","49.828","49.644","44.282"
"2024","Coastal Carolina","Sun Belt","-6.068","97","94","81","120","","93","42.26","45.227","44.594","42.766"
"2024","App State","Sun Belt","-6.788","87","95","123","99","","116","34.071","48.691","27.315","43.31"
"2024","Georgia State","Sun Belt","-10.248","115","107","114","101","","117","28.969","40.888","28.455","37.82"
"2024","South Alabama","Sun Belt","0.261","100","66","46","110","14","72","50.616","54.12","47.873","47.236"
"2024","Louisiana","Sun Belt","-0.152","48","68","28","119","","71","57.349","68.046","40.445","58.521"
"2024","Texas State","Sun Belt","2.247","84","61","14","122","","57","54.407","61.077","48.418","40.097"
"2024","Arkansas State","Sun Belt","-11.861","71","115","96","98","","103","27.049","38.921","22.972","53.085"
"2024","UL Monroe","Sun Belt","-11.333","96","113","104","56","","98","33.63","31.24","43.181","45.167"
"2024","Southern Miss","Sun Belt","-21.712","132","132","132","108","","125","11.99","12.972","20.399","54.495"
"2024","Troy","Sun Belt","-7.249","113","99","105","106","","112","32.041","43.518","32.267","33.956"
"2024","UConn","FBS Independents","-3.325","74","79","69","126","","100","47.273","35.591","58.188","54.648"
"2024","BYU","Big 12","9.307","12","32","24","42","","19","74.278","67.062","70.631","58.08"
"2024","Cincinnati","Big 12","3.423","67","56","74","46","","51","58.625","63.495","54.814","34.682"
"2024","Houston","Big 12","-3.444","79","82","117","41","","83","43.566","25.038","65.249","48.814"
"2024","UCF","Big 12","5.283","89","43","101","45","","74","53.294","60.369","50.721","32.002"
"2024","UAB","American Athletic","-12.74","122","118","102","102","","110","28.025","29.047","32.357","57.606"
"2024","Florida Atlantic","American Athletic","-12.288","130","117","97","130","","123","23.757","26.337","35.512","31.548"
"2024","Charlotte","American Athletic","-13.522","101","120","122","82","","118","27.766","32.18","25.782","68.735"
"2024","North Texas","American Athletic","-7.287","91","100","88","109","","99","39.308","51.932","32.261","46.927"
"2024","Rice","American Athletic","-8.58","110","104","89","100","","94","34.128","27.275","53.023","34.236"
"2024","UTSA","American Athletic","-5.581","98","92","48","71","","70","40.078","38.259","46.39","49.382"
"2024","Jacksonville State","Conference USA","-0.913","72","72","44","113","9","89","47.628","57.904","42.655","37.194"
"2024","Liberty","Conference USA","-6.943","77","97","78","134","12","124","35.985","45.362","33.328","44.461"
"2024","New Mexico State","Conference USA","-20.775","127","130","124","107","","125","14.39","18.985","20.899","44.223"
"2024","Sam Houston","Conference USA","-6.961","55","98","55","123","4","86","43.45","29.883","63.554","40.218"
"2024","Army","American Athletic","5.27","16","44","4","94","","15","75.619","78.841","58.952","54.629"
"2024","Stanford","ACC","-5.299","95","90","119","17","","85","38.36","36.975","39.874","65.408"
"2024","California","ACC","4.302","68","51","64","66","","60","57.687","45.477","64.264","58.117"
"2024","Florida State","ACC","-3.911","106","85","126","11","","97","35.518","23.689","45.332","73.417"
"2024","Georgia Tech","ACC","7.402","34","38","56","14","","26","66.705","72.242","58.501","35.797"
"2024","Louisville","ACC","16.534","25","12","29","23","","17","79.476","79.126","66.823","61.497"
"2024","Boston College","ACC","4.829","47","48","45","40","","45","61.35","56.657","64.403","40.228"
"2024","Duke","ACC","3.686","28","55","57","67","","58","62.075","41.071","73.887","54.127"
"2024","NC State","ACC","0.43","66","65","91","51","","76","43.632","41.325","49.036","47.981"
"2024","North Carolina","ACC","2.602","76","60","62","91","","66","50.555","55.402","46.067","47.749"
"2024","Wake Forest","ACC","-5.059","94","88","94","43","","73","42.092","45.681","42.723","46.202"
"2024","Syracuse","ACC","3.99","27","53","53","72","","49","59.911","72.144","44.673","32.891"
"2024","Pittsburgh","ACC","3.991","44","52","84","39","","64","55.816","49.345","57.768","56.475"
"2024","Clemson","ACC","14.768","21","15","9","35","","8","79.193","79.078","73.333","36.319"
"2024","Virginia","ACC","-1.289","63","74","112","26","","78","47.839","40.745","53.887","55.993"
"2024","Virginia Tech","ACC","8.853","57","34","31","48","","24","70.514","55.299","74.421","59.153"
"2024","Miami","ACC","17.338","14","11","20","55","","21","77.097","87.084","52.889","41.286"
"2024","SMU","ACC","16.414","15","13","13","60","","12","78.712","70.552","75.601","56.033"
"2024","Arizona State","Big 12","11.793","13","22","16","62","","16","78.233","79.692","66.688","47.348"
"2024","Arizona","Big 12","-3.385","88","81","116","50","","91","38.477","43.057","38.791","48.852"
"2024","Colorado","Big 12","12.691","26","19","34","73","","29","74.938","72.644","69.84","45.06"
"2024","Utah","Big 12","5.029","75","47","66","65","","52","60.487","30.282","79.81","59.786"
"2024","UCLA","Big Ten","2.781","52","59","103","13","","61","54.088","49.817","56.439","50.8"
"2024","USC","Big Ten","13.269","45","18","60","31","","28","71.782","72.12","62.422","51.818"
"2024","Northwestern","Big Ten","-5.033","85","87","107","36","","80","35.983","26.972","49.933","53.074"
"2024","Indiana","Big Ten","18.73","8","10","1","68","","7","83.71","85.132","72.021","40.91"
"2024","Maryland","Big Ten","-0.535","82","71","111","18","","77","43.23","46.603","47.026","35.755"
"2024","Michigan State","Big Ten","-3.839","64","84","90","24","","65","44.653","43.625","47.171","52.038"
"2024","Michigan","Big Ten","9.382","29","30","67","7","","32","64.736","44.049","69.52","75.356"
"2024","Minnesota","Big Ten","9.315","43","31","37","53","","31","68.599","55.808","75.809","45.723"
"2024","Nebraska","Big Ten","6.154","53","41","38","19","","25","64.984","58.011","69.664","41.381"
"2024","Rutgers","Big Ten","3.857","54","54","59","74","","59","55.405","64.09","40.753","58.771"
"2024","Ohio State","Big Ten","24.823","6","3","7","27","","5","87.333","80.443","83.601","49.523"
"2024","Penn State","Big Ten","20.037","5","9","23","29","","22","81.11","80.469","75.103","36.924"
"2024","Washington","Big Ten","5.047","46","46","83","12","","50","58.799","57.598","61.801","32.58"
"2024","Wisconsin","Big Ten","4.781","59","49","77","25","","46","55.118","42.281","62.746","59.931"
"2024","Illinois","Big Ten","5.208","22","45","39","32","","41","63.81","64.672","52.931","65.881"
"2024","Iowa","Big Ten","11.144","39","23","32","44","","36","70.238","48.063","74.759","71.573"
"2024","Oregon","Big Ten","21.125","1","6","3","34","","3","85.854","85.403","73.779","53.859"
"2024","Purdue","Big Ten","-13.836","117","122","133","6","","114","20.419","29.645","21.338","52.981"
"2024","Kennesaw State","Conference USA","-21.686","133","131","129","133","","125","14.524","11.533","24.069","67.074"
"2024","Bowling Green","Mid-American","-3.156","81","78","30","84","","63","48.952","45.874","55.957","41.324"
"2024","Miami (OH)","Mid-American","-3.352","73","80","72","75","","90","46.329","38.021","53.012","55.962"
"2024","Ohio","Mid-American","-1.023","51","73","26","121","6","67","54.734","51.667","57.327","46.616"
"2024","Akron","Mid-American","-15.896","111","124","110","54","","111","25.51","29.574","28.571","53.83"
"2024","Ball State","Mid-American","-18.001","123","126","109","87","","113","23.364","37.223","18.686","52.051"
"2024","Buffalo","Mid-American","-10.361","70","108","70","116","7","95","39.252","33.654","45.998","57.803"
"2024","Central Michigan","Mid-American","-14.808","120","123","118","125","","125","22.505","23.257","30.33","49.931"
"2024","Eastern Michigan","Mid-American","-13.481","114","119","93","128","","121","26.84","26.714","34.766","54.009"
"2024","Kent State","Mid-American","-31.206","134","134","134","49","","125","4.62","7.815","9.994","41.858"
"2024","Northern Illinois","Mid-American","-4.256","83","86","63","83","","87","46.732","34.378","64.438","43.51"
"2024","Toledo","Mid-American","-5.318","92","91","41","131","","82","43.159","33.851","52.717","56.909"
"2024","Western Michigan","Mid-American","-10.952","103","111","87","77","5","104","37.661","53.267","24.968","62.263"
"2024","San Diego State","Mountain West","-13.599","124","121","113","105","","121","21.634","18.434","30.611","67.635"
"2024","San José State","Mountain West","-5.133","80","89","65","117","11","84","42.709","44.903","47.684","35.133"
