id,school,color,alternate_color,alternate_names,abbreviation,conference,division,logos,location_id,location_city,location_state,location_zip,location_country,location_latitude,location_longitude,stadium_capacity,location_elevation,location_timezone,grass,dome
2000,Abilene Christian,#592d82,#b1b3b3,"ACU,Abilene Chrstn",ACU,UAC,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2000.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2000.png",5440.0,Abilene,TX,79601,US,32.472275,-99.710464,12000.0,520.9,America/Chicago,False,False
2001,Adams State,#null,#null,"ADST,Adams St",ADST,Rocky Mountain,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2001.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2001.png",5866.0,Alamosa,CO,81101,US,37.5780995,-105.7890452,2800.0,,,,False
2562,Adrian,#null,#null,"SH,Sieheights",SH,,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2562.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2562.png",,,,,,,,,,,,
2003,Adrian,#null,#null,"ADR,Adrian",ADR,Michigan,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2003.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2003.png",5787.0,Adrian,MI,49221,US,41.8975152,-84.0373054,3000.0,,,,False
2005,Air Force,#004a7b,#ffffff,"AF,Air Force",AF,Mountain West,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png",3713.0,Colorado Springs,CO,80840,US,38.9969701,-104.8436165,46692.0,2024.875732,America/Denver,False,False
2006,Akron,#00285e,#84754e,"AKR,Akron",AKR,Mid-American,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png",3768.0,Akron,OH,44399,US,41.0725534,-81.5083408,30000.0,321.2875061,America/New_York,False,False
1001035,Akron Westfield Senior,#null,#null,,,,,,,,,,,,,,,,,
333,Alabama,#9e1632,#ffffff,"ALA,Alabama",ALA,SEC,,"http://a.espncdn.com/i/teamlogos/ncaa/500/333.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png",3657.0,Tuscaloosa,AL,35487,US,33.2082752,-87.5503836,101821.0,70.05136108,America/Chicago,True,False
2010,Alabama A&M,#790000,#ffffff,"AAMU,Alabama A&M",AAMU,SWAC,East,"http://a.espncdn.com/i/teamlogos/ncaa/500/2010.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2010.png",3809.0,Huntsville,AL,35810,US,34.7835363,-86.5784132,21000.0,214.9181061,America/Chicago,False,False
2011,Alabama State,#e9a900,#0a0a0a,"ALST,Alabama St",ALST,SWAC,East,"http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2011.png",4582.0,Montgomery,AL,36106,US,32.3642223,-86.2896902,26500.0,79.35839844,America/Chicago,False,False
1001029,Albany,#null,#null,,,,,,,,,,,,,,,,,
1001024,Albany,#null,#null,,,,,,,,,,,,,,,,,
1001026,Albany,#null,#null,,,,,,,,,,,,,,,,,
1001006,Albany State,#null,#null,,,,,,,,,,,,,,,,,
2013,Albany State GA,#null,#null,"ALBS,Albany St",ALBS,SIAC,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2013.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2013.png",5867.0,Albany,GA,31701,US,31.5782062,-84.1556809,10000.0,,,,False
2790,Albion,#null,#null,"ALBI,Albion",ALBI,Michigan,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2790.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2790.png",5786.0,Albion,MI,49224,US,42.243097,-84.7530304,4000.0,,,,False
2015,Albright,#c82e48,#000000,"ALB,Albright",ALB,Mid Atlantic,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2015.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2015.png",5127.0,Reading,PA,19501,US,40.335345,-75.9279495,5000.0,,,,False
2016,Alcorn State,#4b0058,#46166a,"Alcorn,ALCN,Alcorn St",ALCN,SWAC,West,"http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2016.png",3771.0,Lorman,MS,39096,US,31.873621,-91.13488,22500.0,72.25324249,America/Chicago,False,False
2017,Alderson-Broaddus,#null,#null,"ABC,Ald.-Broaddus",ABC,Mountain East,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2017.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2017.png",4421.0,Philippi,WV,26416,US,39.1523198,-80.0403578,2500.0,,,,False
3162,Alfred State,#null,#null,"ALFS,Alfred St",ALFS,Empire 8,,"http://a.espncdn.com/i/teamlogos/ncaa/500/3162.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3162.png",3877.0,Alfred,NY,14802,US,42.2542334,-77.7906062,1500.0,,,,False
365,Alfred University,#null,#null,"ALF,Alfred",ALF,Empire 8,,"http://a.espncdn.com/i/teamlogos/ncaa/500/365.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/365.png",5788.0,Alfred,NY,14802,US,42.2542334,-77.7906062,1435.0,,,,False
2018,Allegheny,#null,#null,"ALL,Allegheny",ALL,Presidents',,"http://a.espncdn.com/i/teamlogos/ncaa/500/2018.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2018.png",5789.0,Meadville,PA,36069,US,41.641445,-80.151449,3500.0,,,,False
2019,Allen,#null,#null,"ALL,Allen",ALL,SIAC,,,6217.0,Columbia,SC,29201,US,34.0007493,-81.0343313,3000.0,,,,False
2800,Alma,#null,#null,"ALM,Alma",ALM,Michigan,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2800.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2800.png",5790.0,Alma,MI,48801,US,43.37892,-84.659727,4000.0,,,,False
3193,American,#000000,#null,"AMER,American",AMER,,,,,,,,,,,,,,,
2022,American International,#null,#null,"AIC,American Int'l",AIC,Northeast 10,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2022.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2022.png",5868.0,Springfield,MA,56087,US,42.1018764,-72.5886727,4000.0,,,,False
1001056,American River C.C.,#null,#null,,,,,,,,,,,,,,,,,
7,Amherst,#3f1f69,#ffffff,"Amherst,AMH,Amherst",AMH,NESCAC,,"http://a.espncdn.com/i/teamlogos/ncaa/500/7.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/7.png",5792.0,Amherst,MA,03031,US,42.3685658,-72.505714,2500.0,,,,False
2023,Anderson (IN),#null,#null,"AND,Anderson IN",AND,Heartland,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2023.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2023.png",5793.0,Anderson,IN,46016,US,40.1053196,-85.6802541,4300.0,,,,False
129469,Anderson (Sc),#null,#null,"AND,Anderson (Sc)",AND,South Atlantic,,,10461.0,Anderson,SC,,US,,,,,,,False
2025,Angelo State,#null,#null,"ANG,Angelo State",ANG,Lone Star,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2025.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2025.png",5869.0,San Angelo,TX,76903,US,31.4649685,-100.4405094,5670.0,,,,False
