id,school,color,alternate_color,alternate_names,abbreviation,conference,division,logos,location_id,location_city,location_state,location_zip,location_country,location_latitude,location_longitude,stadium_capacity,location_elevation,location_timezone,grass,dome
2005,Air Force,#004a7b,#ffffff,"AF,Air Force",AF,Mountain West,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png",3713,Colorado Springs,CO,80840,US,38.9969701,-104.8436165,46692.0,2024.875732,America/Denver,False,False
2006,Akron,#00285e,#84754e,"AKR,Akron",AKR,Mid-American,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png",3768,Akron,OH,44399,US,41.0725534,-81.5083408,30000.0,321.2875061,America/New_York,False,False
333,Alabama,#9e1632,#ffffff,"ALA,Alabama",ALA,SEC,,"http://a.espncdn.com/i/teamlogos/ncaa/500/333.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png",3657,Tuscaloosa,AL,35487,US,33.2082752,-87.5503836,101821.0,70.05136108,America/Chicago,True,False
2026,App State,#ffcc00,#222222,"Appalachian State,APP,App State",APP,Sun Belt,East,"http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2026.png",3792,Boone,NC,28608,US,36.2114267,-81.6854278,30000.0,991.3414307,America/New_York,False,False
12,Arizona,#0c234b,#ab0520,"ARIZ,Arizona",ARIZ,Big 12,,"http://a.espncdn.com/i/teamlogos/ncaa/500/12.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/12.png",3619,Tucson,AZ,85721,US,32.2288054,-110.9488677,50782.0,742.1530151,America/Phoenix,False,False
9,Arizona State,#8e0c3a,#ffc72c,"ASU,Arizona St",ASU,Big 12,,"http://a.espncdn.com/i/teamlogos/ncaa/500/9.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png",3947,Tempe,AZ,85287,US,33.4264471,-111.9325005,65870.0,360.1569519,America/Phoenix,True,False
8,Arkansas,#a41f35,#ffffff,"ARK,Arkansas",ARK,SEC,,"http://a.espncdn.com/i/teamlogos/ncaa/500/8.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png",3887,Fayetteville,AR,72702,US,36.0680662,-94.1789534,80000.0,403.7972412,America/Chicago,False,False
2032,Arkansas State,#e81018,#000000,"ARST,Arkansas St",ARST,Sun Belt,West,"http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2032.png",3625,Jonesboro,AR,72404,US,35.8488977,-90.6677436,30382.0,89.52690887,America/Chicago,False,False
349,Army,#ce9c00,#231f20,"ARMY,Army",ARMY,American Athletic,,"http://a.espncdn.com/i/teamlogos/ncaa/500/349.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/349.png",3841,West Point,NY,10996,US,41.3874924,-73.9640891,38000.0,99.21277618,America/New_York,False,False
2,Auburn,#002b5c,#f26522,"AUB,Auburn",AUB,SEC,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2.png",3785,Auburn,AL,36849,US,32.6025532,-85.4897479,87451.0,201.1737976,America/Chicago,True,False
